"Metering point","OBIS code","Unit","Started at","Value (1-65:1.29.9)","Interval length (min)","Estimated/measured/edited","Version"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T16:00:00+01:00","0.343","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T16:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T16:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T16:45:00+01:00","0.629","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T17:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T17:15:00+01:00","0.700","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T17:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T17:45:00+01:00","7.866","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T18:00:00+01:00","55.200","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T18:15:00+01:00","47.200","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T18:30:00+01:00","49.600","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T18:45:00+01:00","100.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T19:00:00+01:00","2.400","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T19:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T19:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T19:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T20:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T20:15:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T20:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T20:45:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T21:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T21:15:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T21:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T21:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T22:00:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T22:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T22:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T22:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T23:00:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T23:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T23:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T23:45:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T00:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T00:15:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T00:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T00:45:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T01:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T01:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T01:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T01:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T02:00:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T02:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T02:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T02:45:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T03:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T03:15:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T03:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T03:45:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T04:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T04:15:00+01:00","0.000","15","Measured","3"
